biosample_accession	filename
SAMN23192454	22687-01
SAMN23192455	22747-06
SAMN23192456	23906-01
SAMN23192457	23913-01
SAMN23192458	23942-1
SAMN23192459	24042-01
SAMN23192460	24216-01
SAMN23192461	24266-01
SAMN23192462	24266-02
SAMN23192463	24266-03
SAMN23192464	24266-05
SAMN23192465	24266-06
SAMN23192466	24281-01
SAMN23192467	24392-01
SAMN23192468	24393-01
SAMN23192469	24395-01
SAMN23192470	24411-01
SAMN23192471	24414-01
SAMN23192472	24415-01
SAMN23192473	24564-01
SAMN23192474	24746-01
SAMN23192475	24824-01
SAMN23192476	24825-02
SAMN23192477	24828-01
SAMN23192478	24852-01
SAMN23192479	24874-01
SAMN23192480	24878-01
SAMN23192481	24878-05
SAMN23192482	24878-06
SAMN23192483	24885-01
SAMN23192484	24894-01
SAMN23192485	24900-01
SAMN23192486	26049-01
SAMN23192487	26330-02
SAMN23192488	26341-01
SAMN23192489	26452-01
SAMN23192490	26465-01
SAMN23192491	26480-01
SAMN23192492	26583-02
SAMN23192493	26671-01
SAMN23192494	27239-01
SAMN23192495	27242-02
SAMN23192496	27242-03
SAMN23192497	27242-04
SAMN23192498	27421-01
SAMN23192499	27422-01
SAMN23192500	27466-01
SAMN23192501	44736-14
SAMN23192502	44736-31
SAMN23192503	44781-7
SAMN23192504	44781-8
SAMN23192505	44736-45
SAMN23192506	44736-52
SAMN23192507	44736-65
SAMN23192508	44736-75
SAMN23192509	44736-81
SAMN23192510	44736-83
SAMN23192511	44736-86
SAMN23192512	44736-87
SAMN23192513	44736-88
SAMN23192514	44736-89
SAMN23192515	44736-90
SAMN23192516	44736-93
SAMN23192517	44736-94
SAMN23192518	44736-95
SAMN23192519	44781-4
SAMN23192520	44781-25
SAMN23192521	44781-26
SAMN23192522	45692-02
SAMN23192523	45707-81
SAMN23192524	45707-82
SAMN23192525	45707-83
SAMN23192526	CBS-102663
SAMN23192527	CBS-122913
SAMN23192528	UAMH-10296
SAMN23192529	UAMH-10768
SAMN23192530	UAMH-10949
SAMN23192531	UAMH-11295
SAMN23192532	UAMH-6218
SAMN23192533	UAMH-6642
SAMN23192534	UAMH-6688
SAMN23192535	UAMH-9985
